Input File,Station,Average House Price,Destination,Duration,Frequency,Changes,Primary Schools Link,Secondary Schools Link
commutefrom-E.csv,Ravensbourne,347974,Waterloo,00:40,every 00:16,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=sec
commutefrom-E.csv,Ravensbourne,347974,Charing Cross,00:41,every 00:16,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=sec
commutefrom-E.csv,Ravensbourne,347974,Cannon Street,00:48,every 00:10,2,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=sec
commutefrom-E.csv,Rayleigh,236926,Liverpool Street,00:44,every 00:09,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rayleigh&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rayleigh&t=sec
commutefrom-E.csv,Rochester,174947,London Bridge,00:38,every 00:14,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rochester&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rochester&t=sec
commutefrom-E.csv,Rochester,174947,Cannon Street,00:46,every 00:21,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rochester&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rochester&t=sec
commutefrom-E.csv,Rochester,174947,Victoria,00:56,every 00:12,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rochester&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rochester&t=sec
commutefrom-E.csv,Rochford,236926,Liverpool Street,00:52,every 00:09,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rochford&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rochford&t=sec
commutefrom-E.csv,Romford,251482,Liverpool Street,00:27,every 00:03,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Romford&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Romford&t=sec
commutefrom-E.csv,Sandling,206805,St Pancras,00:56,every 00:29,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sandling&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sandling&t=sec
commutefrom-E.csv,Seven Kings,316019,Liverpool Street,00:19,every 00:03,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Seven%20Kings&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Seven%20Kings&t=sec
commutefrom-E.csv,Sevenoaks,448336,London Bridge,00:25,every 00:06,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=sec
